restock_id,store_id,sku_id,restock_date,quantity_received,lag_days
RESTOCK_002927,STORE_17,SKU_040,2025-10-02,13,1
RESTOCK_002916,STORE_05,SKU_173,2025-10-02,14,2
RESTOCK_006506,STORE_07,SKU_124,2025-10-02,7,6
RESTOCK_001971,STORE_04,SKU_178,2025-10-02,20,1
RESTOCK_005081,STORE_09,SKU_219,2025-10-02,12,2
RESTOCK_002032,STORE_09,SKU_046,2025-10-02,16,1
RESTOCK_002502,STORE_14,SKU_166,2025-10-02,12,3
RESTOCK_000452,STORE_17,SKU_172,2025-10-02,11,1
RESTOCK_005226,STORE_01,SKU_137,2025-10-02,11,1
RESTOCK_002083,STORE_02,SKU_228,2025-10-02,11,2
RESTOCK_000003,STORE_11,SKU_190,2025-10-02,10,4
RESTOCK_005241,STORE_17,SKU_020,2025-10-02,18,3
RESTOCK_002155,STORE_18,SKU_126,2025-10-02,18,4
RESTOCK_002420,STORE_14,SKU_242,2025-10-02,17,4
RESTOCK_006453,STORE_03,SKU_081,2025-10-02,11,3
RESTOCK_001043,STORE_08,SKU_094,2025-10-02,11,2
RESTOCK_007000,STORE_18,SKU_166,2025-10-02,14,3
RESTOCK_003133,STORE_04,SKU_112,2025-10-02,12,4
RESTOCK_005463,STORE_04,SKU_096,2025-10-02,21,3
RESTOCK_004457,STORE_10,SKU_222,2025-10-02,11,3
RESTOCK_005441,STORE_05,SKU_012,2025-10-02,17,1
RESTOCK_005595,STORE_18,SKU_075,2025-10-02,12,4
RESTOCK_004061,STORE_12,SKU_071,2025-10-02,26,1
RESTOCK_000579,STORE_07,SKU_078,2025-10-02,6,3
RESTOCK_005399,STORE_16,SKU_081,2025-10-02,29,1
RESTOCK_001727,STORE_13,SKU_156,2025-10-02,19,2
RESTOCK_006677,STORE_08,SKU_241,2025-10-02,14,3
RESTOCK_003630,STORE_17,SKU_113,2025-10-02,17,2
RESTOCK_001789,STORE_09,SKU_199,2025-10-02,9,3
RESTOCK_001875,STORE_10,SKU_157,2025-10-02,13,4
RESTOCK_001151,STORE_12,SKU_105,2025-10-02,23,2
RESTOCK_003224,STORE_10,SKU_183,2025-10-02,21,1
RESTOCK_002538,STORE_13,SKU_008,2025-10-03,12,3
RESTOCK_004654,STORE_15,SKU_066,2025-10-03,12,2
RESTOCK_003029,STORE_11,SKU_086,2025-10-03,10,3
RESTOCK_004717,STORE_09,SKU_205,2025-10-03,22,4
RESTOCK_006254,STORE_11,SKU_100,2025-10-03,13,4
RESTOCK_005563,STORE_12,SKU_146,2025-10-03,17,1
RESTOCK_005580,STORE_11,SKU_229,2025-10-03,11,6
RESTOCK_003310,STORE_03,SKU_182,2025-10-03,9,6
RESTOCK_005411,STORE_04,SKU_053,2025-10-03,19,3
RESTOCK_003632,STORE_01,SKU_122,2025-10-03,16,1
RESTOCK_003619,STORE_13,SKU_155,2025-10-03,12,1
RESTOCK_005069,STORE_02,SKU_120,2025-10-03,24,4
RESTOCK_000088,STORE_08,SKU_012,2025-10-03,12,3
RESTOCK_000426,STORE_12,SKU_034,2025-10-03,20,2
RESTOCK_005258,STORE_10,SKU_011,2025-10-03,12,2
RESTOCK_001424,STORE_12,SKU_193,2025-10-03,24,2
RESTOCK_006903,STORE_17,SKU_239,2025-10-03,12,4
RESTOCK_000654,STORE_04,SKU_242,2025-10-03,18,3
RESTOCK_000931,STORE_17,SKU_036,2025-10-03,20,2
RESTOCK_002094,STORE_12,SKU_156,2025-10-03,38,2
RESTOCK_001374,STORE_12,SKU_239,2025-10-03,21,1
RESTOCK_001185,STORE_08,SKU_186,2025-10-03,11,4
RESTOCK_000735,STORE_04,SKU_126,2025-10-03,17,2
RESTOCK_001862,STORE_03,SKU_024,2025-10-03,13,6
RESTOCK_002199,STORE_14,SKU_052,2025-10-04,25,4
RESTOCK_002990,STORE_02,SKU_097,2025-10-04,14,1
RESTOCK_000602,STORE_15,SKU_084,2025-10-04,21,4
RESTOCK_004837,STORE_08,SKU_077,2025-10-04,23,2
RESTOCK_006562,STORE_10,SKU_029,2025-10-04,12,1
RESTOCK_006743,STORE_16,SKU_204,2025-10-04,26,2
RESTOCK_004810,STORE_17,SKU_028,2025-10-04,20,4
RESTOCK_002918,STORE_01,SKU_138,2025-10-04,12,3
RESTOCK_005427,STORE_18,SKU_191,2025-10-04,13,3
RESTOCK_001317,STORE_11,SKU_225,2025-10-04,9,6
RESTOCK_001736,STORE_05,SKU_068,2025-10-04,18,1
RESTOCK_001905,STORE_02,SKU_214,2025-10-04,11,2
RESTOCK_004391,STORE_07,SKU_084,2025-10-04,9,4
RESTOCK_003816,STORE_17,SKU_024,2025-10-04,16,2
RESTOCK_005821,STORE_12,SKU_014,2025-10-04,27,2
RESTOCK_004333,STORE_01,SKU_125,2025-10-04,11,3
RESTOCK_002632,STORE_18,SKU_142,2025-10-04,19,4
RESTOCK_002588,STORE_04,SKU_112,2025-10-04,13,2
RESTOCK_004042,STORE_10,SKU_089,2025-10-04,13,4
RESTOCK_001495,STORE_15,SKU_238,2025-10-04,16,3
RESTOCK_005092,STORE_16,SKU_078,2025-10-04,30,2
RESTOCK_002493,STORE_17,SKU_031,2025-10-04,10,1
RESTOCK_002151,STORE_05,SKU_135,2025-10-04,27,2
RESTOCK_004610,STORE_11,SKU_044,2025-10-04,15,4
RESTOCK_001370,STORE_15,SKU_054,2025-10-04,7,3
RESTOCK_002181,STORE_14,SKU_059,2025-10-04,10,4
RESTOCK_000324,STORE_05,SKU_128,2025-10-04,31,1
RESTOCK_004097,STORE_17,SKU_092,2025-10-04,11,3
RESTOCK_006359,STORE_15,SKU_215,2025-10-04,18,4
RESTOCK_003620,STORE_16,SKU_138,2025-10-05,33,2
RESTOCK_004633,STORE_09,SKU_181,2025-10-05,14,3
RESTOCK_001625,STORE_09,SKU_186,2025-10-05,13,2
RESTOCK_005601,STORE_01,SKU_049,2025-10-05,17,4
RESTOCK_004027,STORE_02,SKU_171,2025-10-05,21,4
RESTOCK_000378,STORE_01,SKU_039,2025-10-05,11,2
RESTOCK_003776,STORE_11,SKU_149,2025-10-05,16,6
RESTOCK_001176,STORE_11,SKU_239,2025-10-05,8,4
RESTOCK_003544,STORE_10,SKU_052,2025-10-05,19,1
RESTOCK_002314,STORE_18,SKU_031,2025-10-05,12,1
RESTOCK_002320,STORE_08,SKU_052,2025-10-05,15,1
RESTOCK_000903,STORE_11,SKU_219,2025-10-05,13,5
RESTOCK_002449,STORE_09,SKU_019,2025-10-05,22,4
RESTOCK_006248,STORE_06,SKU_238,2025-10-05,20,3
RESTOCK_002036,STORE_03,SKU_233,2025-10-05,6,6
RESTOCK_006481,STORE_17,SKU_051,2025-10-05,15,3
RESTOCK_004941,STORE_06,SKU_167,2025-10-05,26,1
RESTOCK_000223,STORE_18,SKU_105,2025-10-05,18,3
RESTOCK_002910,STORE_15,SKU_202,2025-10-05,10,2
RESTOCK_004917,STORE_01,SKU_169,2025-10-05,13,2
RESTOCK_006554,STORE_03,SKU_151,2025-10-05,8,6
RESTOCK_001811,STORE_02,SKU_244,2025-10-05,13,3
RESTOCK_003351,STORE_12,SKU_158,2025-10-05,22,1
RESTOCK_001349,STORE_15,SKU_046,2025-10-05,14,2
RESTOCK_001958,STORE_05,SKU_089,2025-10-05,25,2
RESTOCK_001906,STORE_08,SKU_037,2025-10-05,12,3
RESTOCK_001886,STORE_02,SKU_081,2025-10-05,18,3
RESTOCK_003022,STORE_11,SKU_166,2025-10-05,9,5
RESTOCK_001235,STORE_16,SKU_068,2025-10-06,32,1
RESTOCK_000971,STORE_16,SKU_231,2025-10-06,22,2
RESTOCK_000196,STORE_16,SKU_204,2025-10-06,22,1
RESTOCK_004776,STORE_05,SKU_028,2025-10-06,26,1
RESTOCK_001222,STORE_02,SKU_155,2025-10-06,26,3
RESTOCK_004546,STORE_14,SKU_029,2025-10-06,21,1
RESTOCK_004509,STORE_10,SKU_131,2025-10-06,10,1
RESTOCK_004903,STORE_15,SKU_172,2025-10-06,12,1
RESTOCK_004589,STORE_13,SKU_090,2025-10-06,18,3
RESTOCK_002184,STORE_09,SKU_058,2025-10-06,23,1
RESTOCK_003635,STORE_11,SKU_123,2025-10-06,8,5
RESTOCK_004325,STORE_17,SKU_187,2025-10-06,14,4
RESTOCK_002376,STORE_06,SKU_038,2025-10-06,16,4
RESTOCK_002412,STORE_01,SKU_016,2025-10-06,24,3
RESTOCK_002422,STORE_04,SKU_201,2025-10-06,11,4
RESTOCK_002047,STORE_08,SKU_219,2025-10-06,14,2
RESTOCK_002561,STORE_14,SKU_250,2025-10-06,21,4
RESTOCK_002642,STORE_12,SKU_054,2025-10-06,19,2
RESTOCK_002643,STORE_15,SKU_138,2025-10-06,14,2
RESTOCK_002026,STORE_06,SKU_074,2025-10-06,11,3
RESTOCK_002875,STORE_14,SKU_018,2025-10-06,12,3
RESTOCK_002888,STORE_12,SKU_199,2025-10-06,15,2
RESTOCK_000461,STORE_02,SKU_041,2025-10-06,12,1
RESTOCK_000565,STORE_10,SKU_202,2025-10-06,10,1
RESTOCK_002926,STORE_11,SKU_175,2025-10-06,10,4
RESTOCK_003193,STORE_03,SKU_244,2025-10-06,7,5
RESTOCK_001879,STORE_16,SKU_050,2025-10-06,36,2
RESTOCK_003308,STORE_17,SKU_077,2025-10-06,17,4
RESTOCK_003511,STORE_15,SKU_009,2025-10-06,18,1
RESTOCK_001800,STORE_12,SKU_109,2025-10-06,41,1
RESTOCK_003717,STORE_13,SKU_124,2025-10-06,20,1
RESTOCK_000606,STORE_15,SKU_121,2025-10-06,16,3
RESTOCK_003804,STORE_02,SKU_053,2025-10-06,16,3
RESTOCK_003815,STORE_04,SKU_184,2025-10-06,17,3
RESTOCK_003928,STORE_08,SKU_103,2025-10-06,19,4
RESTOCK_001534,STORE_10,SKU_224,2025-10-06,25,2
RESTOCK_000633,STORE_03,SKU_079,2025-10-06,14,5
RESTOCK_004362,STORE_16,SKU_199,2025-10-06,16,1
RESTOCK_002515,STORE_02,SKU_064,2025-10-06,20,4
RESTOCK_000725,STORE_17,SKU_149,2025-10-06,20,3
RESTOCK_006486,STORE_02,SKU_008,2025-10-06,19,2
RESTOCK_006379,STORE_16,SKU_170,2025-10-06,23,2
RESTOCK_006494,STORE_08,SKU_027,2025-10-06,9,4
RESTOCK_005291,STORE_14,SKU_242,2025-10-06,17,3
RESTOCK_006761,STORE_06,SKU_132,2025-10-06,24,1
RESTOCK_004703,STORE_16,SKU_212,2025-10-07,37,1
RESTOCK_003218,STORE_01,SKU_215,2025-10-07,11,3
RESTOCK_003953,STORE_08,SKU_058,2025-10-07,21,1
RESTOCK_000100,STORE_05,SKU_135,2025-10-07,34,1
RESTOCK_002767,STORE_18,SKU_014,2025-10-07,10,2
RESTOCK_002739,STORE_05,SKU_193,2025-10-07,21,1
RESTOCK_004387,STORE_10,SKU_061,2025-10-07,11,3
RESTOCK_002589,STORE_01,SKU_089,2025-10-07,11,1
RESTOCK_002565,STORE_13,SKU_183,2025-10-07,13,2
RESTOCK_006131,STORE_10,SKU_213,2025-10-07,15,2
RESTOCK_003343,STORE_18,SKU_080,2025-10-07,17,3
RESTOCK_002231,STORE_09,SKU_035,2025-10-07,24,2
RESTOCK_005888,STORE_03,SKU_101,2025-10-07,14,6
RESTOCK_005182,STORE_18,SKU_087,2025-10-07,13,1
RESTOCK_006689,STORE_16,SKU_104,2025-10-07,22,1
RESTOCK_003891,STORE_11,SKU_173,2025-10-07,9,5
RESTOCK_005717,STORE_12,SKU_035,2025-10-07,21,1
RESTOCK_005749,STORE_15,SKU_176,2025-10-07,15,3
RESTOCK_006667,STORE_16,SKU_116,2025-10-07,24,1
RESTOCK_003581,STORE_06,SKU_054,2025-10-07,12,1
RESTOCK_000685,STORE_04,SKU_203,2025-10-07,14,3
RESTOCK_001895,STORE_14,SKU_139,2025-10-07,18,2
RESTOCK_004101,STORE_03,SKU_108,2025-10-07,7,4
RESTOCK_004708,STORE_06,SKU_233,2025-10-07,12,3
RESTOCK_003503,STORE_02,SKU_010,2025-10-07,24,2
RESTOCK_004859,STORE_08,SKU_232,2025-10-07,15,3
RESTOCK_000991,STORE_17,SKU_098,2025-10-07,9,2
RESTOCK_000860,STORE_13,SKU_152,2025-10-07,21,4
RESTOCK_005495,STORE_02,SKU_208,2025-10-07,26,4
RESTOCK_000557,STORE_17,SKU_131,2025-10-08,14,1
RESTOCK_004688,STORE_07,SKU_044,2025-10-08,8,6
RESTOCK_006669,STORE_12,SKU_120,2025-10-08,34,1
RESTOCK_006090,STORE_11,SKU_126,2025-10-08,9,4
RESTOCK_006271,STORE_02,SKU_168,2025-10-08,19,2
RESTOCK_002526,STORE_08,SKU_240,2025-10-08,11,1
RESTOCK_004431,STORE_05,SKU_027,2025-10-08,18,2
RESTOCK_004337,STORE_10,SKU_178,2025-10-08,20,4
RESTOCK_003180,STORE_10,SKU_015,2025-10-08,24,4
RESTOCK_003184,STORE_05,SKU_049,2025-10-08,33,2
RESTOCK_005899,STORE_02,SKU_068,2025-10-08,12,1
RESTOCK_000119,STORE_15,SKU_232,2025-10-08,18,3
RESTOCK_004127,STORE_08,SKU_125,2025-10-08,13,2
RESTOCK_004106,STORE_18,SKU_134,2025-10-08,13,3
RESTOCK_005555,STORE_14,SKU_097,2025-10-08,20,1
RESTOCK_003617,STORE_16,SKU_093,2025-10-08,26,1
RESTOCK_005600,STORE_09,SKU_217,2025-10-08,18,4
RESTOCK_000349,STORE_16,SKU_233,2025-10-08,23,1
RESTOCK_006280,STORE_17,SKU_110,2025-10-08,20,4
RESTOCK_001709,STORE_11,SKU_187,2025-10-08,7,6
RESTOCK_005278,STORE_17,SKU_016,2025-10-08,16,2
RESTOCK_003934,STORE_01,SKU_047,2025-10-08,23,1
RESTOCK_001352,STORE_17,SKU_057,2025-10-08,13,2
RESTOCK_001186,STORE_13,SKU_128,2025-10-08,11,3
RESTOCK_005111,STORE_11,SKU_136,2025-10-08,6,6
RESTOCK_001366,STORE_03,SKU_193,2025-10-08,10,3
RESTOCK_000706,STORE_06,SKU_226,2025-10-08,26,3
RESTOCK_006928,STORE_10,SKU_065,2025-10-08,13,2
RESTOCK_000634,STORE_18,SKU_090,2025-10-08,12,4
RESTOCK_001261,STORE_11,SKU_066,2025-10-08,8,5
RESTOCK_004846,STORE_15,SKU_059,2025-10-08,14,1
RESTOCK_005381,STORE_10,SKU_026,2025-10-09,25,4
RESTOCK_004989,STORE_01,SKU_194,2025-10-09,22,3
RESTOCK_005382,STORE_12,SKU_213,2025-10-09,25,1
RESTOCK_000171,STORE_02,SKU_089,2025-10-09,14,3
RESTOCK_001600,STORE_08,SKU_067,2025-10-09,24,2
RESTOCK_004354,STORE_15,SKU_205,2025-10-09,17,2
RESTOCK_004521,STORE_09,SKU_064,2025-10-09,17,1
RESTOCK_005016,STORE_10,SKU_191,2025-10-09,23,2
RESTOCK_002984,STORE_15,SKU_056,2025-10-09,12,1
RESTOCK_003128,STORE_02,SKU_207,2025-10-09,11,2
RESTOCK_003339,STORE_14,SKU_169,2025-10-09,21,1
RESTOCK_001023,STORE_06,SKU_129,2025-10-09,25,1
RESTOCK_000866,STORE_11,SKU_089,2025-10-09,9,6
RESTOCK_004088,STORE_06,SKU_115,2025-10-09,29,2
RESTOCK_005252,STORE_18,SKU_107,2025-10-09,12,4
RESTOCK_000787,STORE_03,SKU_026,2025-10-09,13,3
RESTOCK_003668,STORE_18,SKU_081,2025-10-09,14,3
RESTOCK_005665,STORE_08,SKU_004,2025-10-09,15,3
RESTOCK_006078,STORE_09,SKU_170,2025-10-09,23,2
RESTOCK_004607,STORE_08,SKU_140,2025-10-09,19,2
RESTOCK_002733,STORE_03,SKU_075,2025-10-09,17,4
RESTOCK_001853,STORE_09,SKU_143,2025-10-09,20,2
RESTOCK_006654,STORE_05,SKU_003,2025-10-09,25,1
RESTOCK_005468,STORE_16,SKU_124,2025-10-09,38,1
RESTOCK_006705,STORE_18,SKU_029,2025-10-10,17,1
RESTOCK_003764,STORE_07,SKU_165,2025-10-10,9,5
RESTOCK_004694,STORE_11,SKU_156,2025-10-10,14,5
RESTOCK_005698,STORE_04,SKU_126,2025-10-10,19,4
RESTOCK_004702,STORE_03,SKU_200,2025-10-10,12,4
RESTOCK_000227,STORE_09,SKU_044,2025-10-10,11,3
RESTOCK_004807,STORE_16,SKU_246,2025-10-10,29,1
RESTOCK_006105,STORE_18,SKU_135,2025-10-10,9,4
RESTOCK_001165,STORE_16,SKU_045,2025-10-10,34,1
RESTOCK_003255,STORE_04,SKU_147,2025-10-10,14,2
RESTOCK_000628,STORE_08,SKU_022,2025-10-10,12,3
RESTOCK_003404,STORE_15,SKU_084,2025-10-10,15,3
RESTOCK_006559,STORE_18,SKU_120,2025-10-10,18,3
RESTOCK_006110,STORE_17,SKU_003,2025-10-10,16,4
RESTOCK_004361,STORE_03,SKU_134,2025-10-10,8,6
RESTOCK_006940,STORE_18,SKU_180,2025-10-10,11,3
RESTOCK_003825,STORE_12,SKU_037,2025-10-10,24,2
RESTOCK_001693,STORE_02,SKU_073,2025-10-10,13,2
RESTOCK_005692,STORE_10,SKU_131,2025-10-10,9,4
RESTOCK_001333,STORE_11,SKU_075,2025-10-10,13,4
RESTOCK_006352,STORE_16,SKU_119,2025-10-10,20,2
RESTOCK_006769,STORE_13,SKU_204,2025-10-10,18,1
RESTOCK_001273,STORE_07,SKU_143,2025-10-10,9,4
RESTOCK_004646,STORE_10,SKU_046,2025-10-10,19,4
RESTOCK_002435,STORE_06,SKU_160,2025-10-10,20,1
RESTOCK_000772,STORE_18,SKU_171,2025-10-11,17,4
RESTOCK_000170,STORE_05,SKU_043,2025-10-11,29,2
RESTOCK_006944,STORE_10,SKU_076,2025-10-11,10,4
RESTOCK_004541,STORE_12,SKU_072,2025-10-11,38,2
RESTOCK_001032,STORE_14,SKU_215,2025-10-11,20,1
RESTOCK_000376,STORE_03,SKU_176,2025-10-11,15,3
RESTOCK_004778,STORE_07,SKU_121,2025-10-11,7,4
RESTOCK_001114,STORE_10,SKU_089,2025-10-11,19,2
RESTOCK_003871,STORE_07,SKU_182,2025-10-11,8,3
RESTOCK_000190,STORE_01,SKU_052,2025-10-11,13,4
RESTOCK_004682,STORE_14,SKU_214,2025-10-11,13,3
RESTOCK_001488,STORE_07,SKU_118,2025-10-11,9,4
RESTOCK_000252,STORE_04,SKU_248,2025-10-11,10,1
RESTOCK_000026,STORE_07,SKU_096,2025-10-11,13,3
RESTOCK_004011,STORE_01,SKU_247,2025-10-11,14,1
RESTOCK_004476,STORE_04,SKU_131,2025-10-11,9,4
RESTOCK_001583,STORE_18,SKU_119,2025-10-11,10,2
RESTOCK_001795,STORE_04,SKU_216,2025-10-11,22,2
RESTOCK_001255,STORE_16,SKU_113,2025-10-11,25,1
RESTOCK_000652,STORE_16,SKU_012,2025-10-11,26,1
RESTOCK_002682,STORE_13,SKU_007,2025-10-11,10,4
RESTOCK_000217,STORE_08,SKU_248,2025-10-11,13,2
RESTOCK_000428,STORE_07,SKU_075,2025-10-11,16,4
RESTOCK_000726,STORE_06,SKU_088,2025-10-12,14,2
RESTOCK_001732,STORE_10,SKU_100,2025-10-12,12,1
RESTOCK_003572,STORE_13,SKU_110,2025-10-12,27,4
RESTOCK_000710,STORE_06,SKU_166,2025-10-12,17,2
RESTOCK_002131,STORE_05,SKU_137,2025-10-12,26,2
RESTOCK_000905,STORE_07,SKU_134,2025-10-12,6,5
RESTOCK_002071,STORE_18,SKU_115,2025-10-12,17,3
RESTOCK_001339,STORE_17,SKU_182,2025-10-12,20,2
RESTOCK_002235,STORE_18,SKU_223,2025-10-12,16,1
RESTOCK_002303,STORE_08,SKU_055,2025-10-12,10,4
RESTOCK_001991,STORE_10,SKU_209,2025-10-12,23,3
RESTOCK_002381,STORE_12,SKU_004,2025-10-12,20,1
RESTOCK_001975,STORE_08,SKU_145,2025-10-12,23,1
RESTOCK_001260,STORE_13,SKU_245,2025-10-12,23,2
RESTOCK_002816,STORE_15,SKU_209,2025-10-12,16,1
RESTOCK_006812,STORE_06,SKU_103,2025-10-12,16,1
RESTOCK_006628,STORE_08,SKU_249,2025-10-12,13,2
RESTOCK_003075,STORE_05,SKU_122,2025-10-12,32,2
RESTOCK_001376,STORE_09,SKU_082,2025-10-12,17,2
RESTOCK_001087,STORE_17,SKU_189,2025-10-12,11,3
RESTOCK_003266,STORE_11,SKU_095,2025-10-12,13,6
RESTOCK_003298,STORE_16,SKU_122,2025-10-12,20,1
RESTOCK_000028,STORE_07,SKU_236,2025-10-12,9,5
RESTOCK_003502,STORE_18,SKU_079,2025-10-12,16,3
RESTOCK_006933,STORE_07,SKU_064,2025-10-12,19,3
RESTOCK_005885,STORE_01,SKU_219,2025-10-12,17,3
RESTOCK_000427,STORE_09,SKU_199,2025-10-12,12,3
RESTOCK_003779,STORE_13,SKU_058,2025-10-12,14,1
RESTOCK_004218,STORE_16,SKU_088,2025-10-12,20,1
RESTOCK_004872,STORE_05,SKU_047,2025-10-12,32,2
RESTOCK_004854,STORE_01,SKU_144,2025-10-12,14,2
RESTOCK_004742,STORE_14,SKU_112,2025-10-12,15,1
RESTOCK_004819,STORE_07,SKU_153,2025-10-12,10,5
RESTOCK_005597,STORE_18,SKU_170,2025-10-12,19,4
RESTOCK_005145,STORE_17,SKU_171,2025-10-12,12,3
RESTOCK_001473,STORE_17,SKU_096,2025-10-13,15,3
RESTOCK_006515,STORE_08,SKU_131,2025-10-13,14,4
RESTOCK_006781,STORE_04,SKU_119,2025-10-13,11,3
RESTOCK_006636,STORE_09,SKU_210,2025-10-13,23,2
RESTOCK_000045,STORE_08,SKU_186,2025-10-13,9,3
RESTOCK_004771,STORE_18,SKU_020,2025-10-13,24,3
RESTOCK_004073,STORE_18,SKU_242,2025-10-13,14,2
RESTOCK_000434,STORE_12,SKU_031,2025-10-13,20,1
RESTOCK_006675,STORE_03,SKU_046,2025-10-13,15,6
RESTOCK_006843,STORE_08,SKU_045,2025-10-13,14,3
RESTOCK_006738,STORE_10,SKU_131,2025-10-13,9,4
RESTOCK_003105,STORE_11,SKU_110,2025-10-13,13,5
RESTOCK_001533,STORE_10,SKU_063,2025-10-13,9,3
RESTOCK_001531,STORE_14,SKU_068,2025-10-13,24,1
RESTOCK_001514,STORE_02,SKU_162,2025-10-13,28,3
RESTOCK_002569,STORE_12,SKU_178,2025-10-13,22,2
RESTOCK_005962,STORE_18,SKU_221,2025-10-13,19,4
RESTOCK_002915,STORE_12,SKU_163,2025-10-13,30,2
RESTOCK_001306,STORE_10,SKU_246,2025-10-13,14,3
RESTOCK_000692,STORE_04,SKU_047,2025-10-13,21,3
RESTOCK_000928,STORE_15,SKU_079,2025-10-13,11,1
RESTOCK_006277,STORE_16,SKU_012,2025-10-13,26,1
RESTOCK_005682,STORE_05,SKU_225,2025-10-13,18,2
RESTOCK_005235,STORE_04,SKU_221,2025-10-13,17,2
RESTOCK_000845,STORE_02,SKU_214,2025-10-13,9,3
RESTOCK_000278,STORE_17,SKU_137,2025-10-13,13,2
RESTOCK_000696,STORE_08,SKU_071,2025-10-13,20,2
RESTOCK_002521,STORE_06,SKU_171,2025-10-13,18,2
RESTOCK_000068,STORE_15,SKU_153,2025-10-13,16,2
RESTOCK_006972,STORE_15,SKU_109,2025-10-13,20,4
RESTOCK_004616,STORE_14,SKU_226,2025-10-13,16,1
RESTOCK_002686,STORE_10,SKU_069,2025-10-14,26,3
RESTOCK_002621,STORE_09,SKU_029,2025-10-14,12,4
RESTOCK_004281,STORE_02,SKU_015,2025-10-14,24,3
RESTOCK_003291,STORE_13,SKU_037,2025-10-14,13,1
RESTOCK_001402,STORE_16,SKU_165,2025-10-14,25,2
RESTOCK_006153,STORE_06,SKU_118,2025-10-14,16,3
RESTOCK_001985,STORE_09,SKU_178,2025-10-14,16,1
RESTOCK_002374,STORE_06,SKU_121,2025-10-14,12,3
RESTOCK_006672,STORE_07,SKU_142,2025-10-14,12,3
RESTOCK_006310,STORE_13,SKU_234,2025-10-14,14,3
RESTOCK_005413,STORE_17,SKU_192,2025-10-14,16,2
RESTOCK_002285,STORE_16,SKU_061,2025-10-14,17,1
RESTOCK_006643,STORE_07,SKU_152,2025-10-14,10,4
RESTOCK_006098,STORE_13,SKU_089,2025-10-14,18,3
RESTOCK_004383,STORE_11,SKU_185,2025-10-14,6,3
RESTOCK_002975,STORE_08,SKU_154,2025-10-14,20,3
RESTOCK_004382,STORE_12,SKU_037,2025-10-14,18,1
RESTOCK_002833,STORE_06,SKU_213,2025-10-14,17,4
RESTOCK_005505,STORE_17,SKU_060,2025-10-14,10,3
RESTOCK_002042,STORE_09,SKU_085,2025-10-14,11,4
RESTOCK_004734,STORE_07,SKU_106,2025-10-14,8,6
RESTOCK_000346,STORE_14,SKU_102,2025-10-14,9,1
RESTOCK_005158,STORE_14,SKU_100,2025-10-14,16,3
RESTOCK_000013,STORE_06,SKU_039,2025-10-14,14,3
RESTOCK_003623,STORE_17,SKU_125,2025-10-14,9,4
RESTOCK_004160,STORE_16,SKU_212,2025-10-14,39,2
RESTOCK_000331,STORE_16,SKU_084,2025-10-14,28,2
RESTOCK_005786,STORE_14,SKU_023,2025-10-14,18,3
RESTOCK_003491,STORE_14,SKU_161,2025-10-14,20,2
RESTOCK_003562,STORE_09,SKU_090,2025-10-14,22,4
RESTOCK_004930,STORE_13,SKU_033,2025-10-14,13,4
RESTOCK_001014,STORE_04,SKU_030,2025-10-14,8,2
RESTOCK_004090,STORE_06,SKU_140,2025-10-14,15,2
RESTOCK_005627,STORE_07,SKU_133,2025-10-14,18,4
RESTOCK_005642,STORE_10,SKU_141,2025-10-14,9,2
RESTOCK_003996,STORE_12,SKU_004,2025-10-14,26,2
RESTOCK_005654,STORE_05,SKU_137,2025-10-14,20,1
